Date,All,O+,O-,B+,B-,A+,A-,AB+,AB-
12/1/2017,51,14,0,17,0,17,0,3,0
12/2/2017,32,11,0,4,0,13,0,4,0
12/3/2017,69,16,0,25,0,14,0,14,0
12/4/2017,49,10,0,23,0,11,0,5,0
12/5/2017,38,4,0,20,0,12,0,2,0
12/6/2017,77,22,0,28,0,20,0,7,0
12/7/2017,38,13,0,13,0,11,0,1,0
12/8/2017,63,9,0,24,0,21,0,9,0
12/9/2017,61,15,0,19,0,20,0,7,0
12/10/2017,66,21,0,14,0,26,0,5,0
12/11/2017,65,17,0,21,0,19,1,7,0
12/12/2017,78,23,0,19,0,25,0,11,0
12/13/17,72,19,0,23,0,20,0,10,0
12/14/17,47,8,0,18,0,14,0,7,0
12/15/17,34,11,0,12,0,5,0,6,0
12/16/17,59,18,0,12,0,22,0,7,0
12/17/17,50,8,0,19,0,15,0,8,0
12/18/17,48,13,0,12,0,16,0,7,0
12/19/17,57,13,0,17,0,20,0,7,0
12/20/17,51,18,1,12,0,15,0,5,0
12/21/17,72,14,0,25,0,22,0,11,0
12/22/17,58,15,0,15,0,21,0,6,1
12/23/17,66,14,0,24,0,18,0,10,0
12/24/17,58,15,0,21,0,14,0,8,0
12/25/17,64,15,0,22,0,20,0,7,0
12/26/17,38,11,0,13,0,10,0,4,0
12/27/17,64,25,0,11,0,20,0,8,0
12/28/17,68,20,0,20,0,19,0,9,0
12/29/17,43,9,0,17,0,16,0,1,0
12/30/17,35,9,0,14,0,7,0,5,0
12/31/17,38,8,1,11,0,13,0,5,0
1/1/2018,33,9,0,9,1,11,0,3,0
1/2/2018,60,13,0,16,0,21,0,10,0
1/3/2018,56,12,0,20,1,13,0,10,0
1/4/2018,45,5,0,13,0,15,0,12,0
1/5/2018,42,9,0,18,0,13,0,2,0
1/6/2018,56,19,0,11,0,20,0,6,0
1/7/2018,30,8,0,5,0,12,0,5,0
1/8/2018,52,17,0,13,1,13,1,7,0
1/9/2018,61,18,0,25,0,8,0,10,0
1/10/2018,67,16,0,20,0,23,0,8,0
1/11/2018,40,11,0,14,0,9,0,6,0
1/12/2018,34,8,0,10,0,11,0,5,0
01/13/18,60,13,0,24,0,14,0,9,0
01/14/18,33,13,0,9,0,11,0,0,0
01/15/18,39,7,0,10,0,19,0,3,0
01/16/18,65,14,0,20,0,24,0,7,0
